first_visit_date,views,days_since_first_visit,retained_users,total_users_cohort,retention_rate
2019-10-02,b. 6~10,24,291,1587,0.1833648393194707
2019-10-02,b. 6~10,25,295,1587,0.18588531821045998
2019-10-02,b. 6~10,26,295,1587,0.18588531821045998
2019-10-02,b. 6~10,27,263,1587,0.1657214870825457
2019-10-02,b. 6~10,28,296,1587,0.18651543793320732
2019-10-02,b. 6~10,29,288,1587,0.18147448015122875
2019-10-02,c. 11~30,0,2030,2030,1.0
2019-10-02,c. 11~30,1,693,2030,0.3413793103448276
2019-10-02,c. 11~30,2,643,2030,0.3167487684729064
2019-10-02,c. 11~30,3,560,2030,0.27586206896551724
2019-10-02,c. 11~30,4,533,2030,0.2625615763546798
2019-10-02,c. 11~30,5,506,2030,0.24926108374384237
2019-10-02,c. 11~30,6,483,2030,0.23793103448275862
2019-10-02,c. 11~30,7,485,2030,0.23891625615763548
2019-10-02,c. 11~30,8,561,2030,0.27635467980295564
2019-10-02,c. 11~30,9,538,2030,0.2650246305418719
2019-10-02,c. 11~30,10,458,2030,0.22561576354679802
2019-10-02,c. 11~30,11,505,2030,0.24876847290640394
2019-10-02,c. 11~30,12,550,2030,0.270935960591133
2019-10-02,c. 11~30,13,530,2030,0.26108374384236455
2019-10-02,c. 11~30,14,480,2030,0.23645320197044334
2019-10-02,c. 11~30,15,473,2030,0.2330049261083744
2019-10-02,c. 11~30,16,522,2030,0.2571428571428571
2019-10-02,c. 11~30,17,438,2030,0.21576354679802956
2019-10-02,c. 11~30,18,446,2030,0.21970443349753693
2019-10-02,c. 11~30,19,425,2030,0.20935960591133004
2019-10-02,c. 11~30,20,436,2030,0.2147783251231527
2019-10-02,c. 11~30,21,446,2030,0.21970443349753693
2019-10-02,c. 11~30,22,399,2030,0.19655172413793104
2019-10-02,c. 11~30,23,472,2030,0.23251231527093597
2019-10-02,c. 11~30,24,409,2030,0.20147783251231527
2019-10-02,c. 11~30,25,395,2030,0.19458128078817735
2019-10-02,c. 11~30,26,417,2030,0.20541871921182267
2019-10-02,c. 11~30,27,413,2030,0.20344827586206896
2019-10-02,c. 11~30,28,383,2030,0.18866995073891626
2019-10-02,c. 11~30,29,386,2030,0.19014778325123152
2019-10-02,d. 31~,0,743,743,1.0
2019-10-02,d. 31~,1,339,743,0.45625841184387617
2019-10-02,d. 31~,2,292,743,0.39300134589502017
2019-10-02,d. 31~,3,232,743,0.3122476446837147
2019-10-02,d. 31~,4,219,743,0.29475100942126514
2019-10-02,d. 31~,5,234,743,0.3149394347240915
2019-10-02,d. 31~,6,217,743,0.2920592193808883
2019-10-02,d. 31~,7,218,743,0.2934051144010767
2019-10-02,d. 31~,8,207,743,0.27860026917900405
2019-10-02,d. 31~,9,240,743,0.32301480484522205
2019-10-02,d. 31~,10,205,743,0.2759084791386272
2019-10-02,d. 31~,11,201,743,0.27052489905787347
2019-10-02,d. 31~,12,221,743,0.297442799461642
2019-10-02,d. 31~,13,217,743,0.2920592193808883
2019-10-02,d. 31~,14,198,743,0.26648721399730824
2019-10-02,d. 31~,15,182,743,0.2449528936742934
2019-10-02,d. 31~,16,204,743,0.27456258411843876
2019-10-02,d. 31~,17,187,743,0.25168236877523553
2019-10-02,d. 31~,18,171,743,0.23014804845222073
2019-10-02,d. 31~,19,177,743,0.23822341857335128
2019-10-02,d. 31~,20,177,743,0.23822341857335128
2019-10-02,d. 31~,21,164,743,0.22072678331090176
2019-10-02,d. 31~,22,144,743,0.19380888290713325
2019-10-02,d. 31~,23,167,743,0.22476446837146702
2019-10-02,d. 31~,24,170,743,0.2288021534320323
2019-10-02,d. 31~,25,144,743,0.19380888290713325
2019-10-02,d. 31~,26,132,743,0.17765814266487215
2019-10-02,d. 31~,27,148,743,0.19919246298788695
2019-10-02,d. 31~,28,139,743,0.18707940780619112
2019-10-02,d. 31~,29,130,743,0.17496635262449528
2019-10-03,a. 0~5,0,2971,2971,1.0
2019-10-03,a. 0~5,1,831,2971,0.27970380343318746
2019-10-03,a. 0~5,2,628,2971,0.21137664086166275
2019-10-03,a. 0~5,3,587,2971,0.1975765735442612
2019-10-03,a. 0~5,4,626,2971,0.21070346684617974
2019-10-03,a. 0~5,5,634,2971,0.21339616290811175
2019-10-03,a. 0~5,6,592,2971,0.1992595085829687
2019-10-03,a. 0~5,7,612,2971,0.20599124873779873
2019-10-03,a. 0~5,8,683,2971,0.2298889262874453
2019-10-03,a. 0~5,9,655,2971,0.22046449007068328
2019-10-03,a. 0~5,10,679,2971,0.2285425782564793
2019-10-03,a. 0~5,11,723,2971,0.24335240659710536
2019-10-03,a. 0~5,12,724,2971,0.24368899360484686
2019-10-03,a. 0~5,13,673,2971,0.2265230562100303
2019-10-03,a. 0~5,14,687,2971,0.23123527431841132
2019-10-03,a. 0~5,15,673,2971,0.2265230562100303
2019-10-03,a. 0~5,16,628,2971,0.21137664086166275
2019-10-03,a. 0~5,17,665,2971,0.2238303601480983
2019-10-03,a. 0~5,18,592,2971,0.1992595085829687
2019-10-03,a. 0~5,19,600,2971,0.2019522046449007
2019-10-03,a. 0~5,20,577,2971,0.19421070346684619
2019-10-03,a. 0~5,21,560,2971,0.18848872433524066
2019-10-03,a. 0~5,22,612,2971,0.20599124873779873
2019-10-03,a. 0~5,23,548,2971,0.18444968024234265
2019-10-03,a. 0~5,24,527,2971,0.17738135307977113
2019-10-03,a. 0~5,25,546,2971,0.18377650622685965
2019-10-03,a. 0~5,26,536,2971,0.18041063614944464
2019-10-03,a. 0~5,27,522,2971,0.17569841804106362
2019-10-03,a. 0~5,28,484,2971,0.16290811174688657
2019-10-03,b. 6~10,0,1264,1264,1.0
2019-10-03,b. 6~10,1,400,1264,0.31645569620253167
2019-10-03,b. 6~10,2,284,1264,0.22468354430379747
2019-10-03,b. 6~10,3,274,1264,0.21677215189873417
2019-10-03,b. 6~10,4,273,1264,0.21598101265822786
2019-10-03,b. 6~10,5,290,1264,0.22943037974683544
2019-10-03,b. 6~10,6,269,1264,0.21281645569620253
2019-10-03,b. 6~10,7,295,1264,0.23338607594936708
2019-10-03,b. 6~10,8,291,1264,0.23022151898734178
2019-10-03,b. 6~10,9,305,1264,0.2412974683544304
2019-10-03,b. 6~10,10,324,1264,0.2563291139240506
2019-10-03,b. 6~10,11,329,1264,0.2602848101265823
2019-10-03,b. 6~10,12,339,1264,0.26819620253164556
2019-10-03,b. 6~10,13,304,1264,0.24050632911392406
2019-10-03,b. 6~10,14,295,1264,0.23338607594936708
2019-10-03,b. 6~10,15,285,1264,0.2254746835443038
2019-10-03,b. 6~10,16,250,1264,0.19778481012658228
2019-10-03,b. 6~10,17,239,1264,0.18908227848101267
2019-10-03,b. 6~10,18,251,1264,0.1985759493670886
2019-10-03,b. 6~10,19,253,1264,0.20015822784810128
2019-10-03,b. 6~10,20,237,1264,0.1875
2019-10-03,b. 6~10,21,233,1264,0.1843354430379747
2019-10-03,b. 6~10,22,251,1264,0.1985759493670886
2019-10-03,b. 6~10,23,216,1264,0.17088607594936708
2019-10-03,b. 6~10,24,222,1264,0.17563291139240506
2019-10-03,b. 6~10,25,221,1264,0.17484177215189872
2019-10-03,b. 6~10,26,231,1264,0.18275316455696203
2019-10-03,b. 6~10,27,203,1264,0.1606012658227848
2019-10-03,b. 6~10,28,200,1264,0.15822784810126583
2019-10-03,c. 11~30,0,1619,1619,1.0
2019-10-03,c. 11~30,1,535,1619,0.3304508956145769
2019-10-03,c. 11~30,2,418,1619,0.25818406423718343
2019-10-03,c. 11~30,3,408,1619,0.2520074119827054
2019-10-03,c. 11~30,4,383,1619,0.23656578134651018
2019-10-03,c. 11~30,5,399,1619,0.2464484249536751
2019-10-03,c. 11~30,6,374,1619,0.23100679431747992
2019-10-03,c. 11~30,7,388,1619,0.23965410747374924
2019-10-03,c. 11~30,8,421,1619,0.2600370599135269
2019-10-03,c. 11~30,9,363,1619,0.22421247683755405
2019-10-03,c. 11~30,10,395,1619,0.24397776405188387
2019-10-03,c. 11~30,11,427,1619,0.2637430512662137
2019-10-03,c. 11~30,12,406,1619,0.25077208153180974
2019-10-03,c. 11~30,13,347,1619,0.21432983323038912
